$\theta$ True IC Fitted IC N T True Value $\hat{\theta}$ $SE_\theta$ $\hat{SE}$ Bias RB RMSE cov pow
Z62 Null Null 20 50 1.5 1.497 0.074 0.072 -0.003 -0.002 0.074 0.945 1
V11 Null Null 20 50 0.4 0.398 0.03 0.031 -0.002 -0.004 0.03 0.949 1
V21 Null deJong 20 50 1.2 1.2 0.004 0.004 0 0 0.004 0.963 1
V22 Null deJong 20 50 0.8 0.8 0.005 0.005 0 0 0.005 0.941 1
T11 Null deJong 20 50 0.9 0.9 0.006 0.006 0 0 0.006 0.944 1
T21 Null deJong 20 50 1.1 1.1 0.004 0.005 0 0 0.004 0.957 1
T12 Null deJong 20 50 0.05 0.476 0.037 0.044 0.426 8.529 0.428 0 1
T22 Null deJong 20 50 0.02 0.094 0.027 0.028 0.074 3.709 0.079 0.226 0.926
U11 Null deJong 20 50 0.05 0.497 0.037 0.036 0.447 8.934 0.448 0 1
U22 Null deJong 20 50 1.2 1.2 0.003 0.003 0 0 0.003 0.954 1
U33 Null deJong 20 50 -0.4 -0.4 0.003 0.004 0 0 0.003 0.991 1
U44 Null deJong 20 50 0.6 0.6 0.004 0.004 0 0 0.004 0.96 1
U55 Null deJong 20 50 0.7 0.7 0.003 0.003 0 -0.001 0.003 0.947 1
U66 Null deJong 20 50 0.8 0.799 0.041 0.043 -0.001 -0.001 0.041 0.957 1
X01 Null deJong 20 50 0.6 0.596 0.041 0.04 -0.004 -0.007 0.041 0.923 1
X02 Null deJong 20 50 2 2.002 0.089 0.093 0.002 0.001 0.089 0.963 1
P011 Null deJong 20 50 1 1.004 0.052 0.052 0.004 0.004 0.053 0.957 1
P012 Null deJong 20 50 1.5 1.496 0.074 0.072 -0.004 -0.003 0.074 0.957 1
P022 Null deJong 20 50 0.4 0.4 0.031 0.032 0 -0.001 0.03 0.95 1
Z21 Null EKF 20 50 1.2 1.2 0.004 0.004 0 0 0.004 0.976 1
Z31 Null EKF 20 50 0.8 0.8 0.005 0.005 0 0 0.005 0.948 1
Z52 Null EKF 20 50 0.9 0.9 0.006 0.006 0 0 0.006 0.958 1
Z62 Null EKF 20 50 1.1 1.1 0.005 0.005 0 0 0.005 0.962 1
V11 Null EKF 20 50 0.05 0.477 0.037 0.044 0.427 8.549 0.429 0 1
V21 Null EKF 20 50 0.02 0.094 0.027 0.028 0.074 3.676 0.078 0.247 0.916
V22 Null EKF 20 50 0.05 0.497 0.038 0.036 0.447 8.947 0.449 0 1
T11 Null EKF 20 50 1.2 1.199 0.003 0.003 -0.001 -0.001 0.003 0.962 1
T21 Null EKF 20 50 -0.4 -0.4 0.003 0.004 0 0 0.003 0.99 1
T12 Null EKF 20 50 0.6 0.6 0.004 0.004 0 0 0.004 0.951 1
T22 Null EKF 20 50 0.7 0.7 0.004 0.003 0 -0.001 0.004 0.944 1
U11 Null EKF 20 50 0.8 0.798 0.041 0.043 -0.002 -0.002 0.041 0.955 1
U22 Null EKF 20 50 0.6 0.595 0.04 0.04 -0.005 -0.008 0.04 0.93 1
U33 Null EKF 20 50 2 2.001 0.088 0.093 0.001 0.001 0.088 0.969 1
U44 Null EKF 20 50 1 1.003 0.053 0.052 0.003 0.003 0.053 0.951 1
U55 Null EKF 20 50 1.5 1.497 0.075 0.072 -0.003 -0.002 0.075 0.944 1
U66 Null EKF 20 50 0.4 0.399 0.031 0.032 -0.001 -0.003 0.031 0.948 1
Z21 Null largeK 20 50 1.2 1.2 0.004 0.004 0 0 0.004 0.972 1
Z31 Null largeK 20 50 0.8 0.8 0.005 0.005 0 0 0.005 0.948 1
Z52 Null largeK 20 50 0.9 0.9 0.006 0.006 0 0 0.006 0.955 1
Z62 Null largeK 20 50 1.1 1.1 0.005 0.005 0 0 0.005 0.962 1
V11 Null largeK 20 50 0.05 0.478 0.036 0.044 0.428 8.556 0.429 0 1
V21 Null largeK 20 50 0.02 0.094 0.027 0.028 0.074 3.677 0.078 0.247 0.917
V22 Null largeK 20 50 0.05 0.498 0.038 0.036 0.448 8.954 0.449 0 1
T11 Null largeK 20 50 1.2 1.199 0.003 0.003 -0.001 -0.001 0.003 0.962 1
T21 Null largeK 20 50 -0.4 -0.4 0.003 0.004 0 0 0.003 0.99 1
T12 Null largeK 20 50 0.6 0.6 0.004 0.004 0 0 0.004 0.951 1
T22 Null largeK 20 50 0.7 0.7 0.004 0.003 0 -0.001 0.004 0.944 1
U11 Null largeK 20 50 0.8 0.798 0.041 0.043 -0.002 -0.003 0.041 0.955 1
U22 Null largeK 20 50 0.6 0.595 0.04 0.04 -0.005 -0.008 0.04 0.931 1
U33 Null largeK 20 50 2 2.002 0.089 0.093 0.002 0.001 0.088 0.969 1
U44 Null largeK 20 50 1 1.003 0.053 0.052 0.003 0.003 0.053 0.955 1
U55 Null largeK 20 50 1.5 1.496 0.075 0.072 -0.004 -0.003 0.075 0.944 1
U66 Null largeK 20 50 0.4 0.399 0.031 0.032 -0.001 -0.003 0.031 0.948 1
