"modelName","ICspecTRUE","ICfitted","N","T","param_type","bias","rel_bias","rmse","coverage","sd_minus_se","power"
"PFAnonsMild","diffuse","EKF",20,50,"time_series",-3.12994402272976e-05,-5.26077638169553e-05,0.0027395300915496,0.959677419354839,-0.000199696592833648,1
"PFAnonsMild","diffuse","FreeParm",20,50,"init_cond",0.31994492088365,-0.585151464280886,1.83383580823321,0.349090909090909,-0.21177137250368,0.528311688311688
"PFAnonsMild","diffuse","FreeParm",20,50,"measurement",-0.00092638071194156,-0.000596709088559891,0.0331175414725385,0.945714285714286,0.000773476651376201,1
"PFAnonsMild","diffuse","FreeParm",20,50,"process_noise",-0.00700187860903645,-0.187734975764424,0.0138325677113791,0.852813852813853,0.002367851465343,0.766233766233766
"PFAnonsMild","diffuse","FreeParm",20,50,"time_series",1.42978754802819e-05,-2.45608387129521e-05,0.00275343660097914,0.957792207792208,-0.000184205741765891,1
"PFAnonsMild","diffuse","largeK",20,50,"measurement",-0.000669528831446298,-0.000434738724475034,0.0327641606080214,0.945086705202312,0.000427358895816399,1
"PFAnonsMild","diffuse","largeK",20,50,"process_noise",-0.00754198536724231,-0.205357330442149,0.0155726892432681,0.835260115606936,0.00415232263226147,0.75626204238921
"PFAnonsMild","diffuse","largeK",20,50,"time_series",-3.08028616760464e-05,-6.05278584197378e-05,0.00276088854880085,0.959537572254335,-0.000177144215844514,1
"PFAnonsMild","diffuse","Null",20,50,"measurement",0.0456189408440298,0.0707728813537108,0.0641976874562031,0.729012345679012,0.00247692802710585,1
"PFAnonsMild","diffuse","Null",20,50,"process_noise",0.0374334496458992,0.318570401177527,0.0686293646188966,0.0322359396433471,0.00233490597778791,0.808641975308642
"PFAnonsMild","diffuse","Null",20,50,"time_series",-0.0002049402962324,-0.000651680671517757,0.00280166587759732,0.993827160493827,-0.000971130143199826,1
"PFAnonsMild","FreeParm","deJong",20,50,"measurement",2.46753041715508e-06,-0.000161746729704525,0.0335090074094439,0.941463414634146,0.000751638574647871,1
"PFAnonsMild","FreeParm","deJong",20,50,"process_noise",-0.00634131198526116,-0.173012476556971,0.0130319832014376,0.867886178861789,0.00176689999082299,0.784552845528455
"PFAnonsMild","FreeParm","deJong",20,50,"time_series",-0.000123260540177,2.4027532745425e-05,0.00335640524567686,0.952743902439024,-7.15630331143848e-05,1
"PFAnonsMild","FreeParm","EKF",20,50,"measurement",5.23056816484679e-05,-8.87972314728504e-05,0.0329552526739372,0.948179271708683,0.000158597242377277,1
"PFAnonsMild","FreeParm","EKF",20,50,"process_noise",-0.00650193622631756,-0.176424805459686,0.0137280370618143,0.860877684407096,0.00246651079925925,0.774042950513539
"PFAnonsMild","FreeParm","EKF",20,50,"time_series",-0.00012842210374614,-6.77380690272182e-05,0.00333268279304837,0.957282913165266,-0.000127769074475416,1
"PFAnonsMild","FreeParm","FreeParm",20,50,"init_cond",-0.0242619059956944,-0.0359692819768182,0.26168261821956,0.918863049095607,0.00472120627426171,0.774160206718346
"PFAnonsMild","FreeParm","FreeParm",20,50,"measurement",-9.96233494747645e-05,-0.000146216527508031,0.0332158846109901,0.944702842377261,0.000457915858400276,1
"PFAnonsMild","FreeParm","FreeParm",20,50,"process_noise",-0.00600761944078744,-0.164831964490345,0.0127899563248606,0.873385012919897,0.00163671528812295,0.784668389319552
"PFAnonsMild","FreeParm","FreeParm",20,50,"time_series",-1.05247483680321e-05,-1.23251572048846e-05,0.0033320793859229,0.956072351421189,-0.000119827878268967,1
"PFAnonsMild","FreeParm","largeK",20,50,"measurement",0.000369624590272938,0.00014033980693617,0.032955762363809,0.946648044692737,0.000160709324030352,1
"PFAnonsMild","FreeParm","largeK",20,50,"process_noise",-0.00648376700960043,-0.176303763675303,0.0137642416341876,0.860335195530726,0.0025248158614796,0.776536312849162
"PFAnonsMild","FreeParm","largeK",20,50,"time_series",-0.000126176889580928,-6.37859208949037e-05,0.00331313026629667,0.956005586592179,-0.000136722232283454,1
"PFAnonsMild","FreeParm","Null",20,50,"measurement",0.0172496282772359,0.0257873693068228,0.0421605727645759,0.886004056795132,0.00184859251172995,1
"PFAnonsMild","FreeParm","Null",20,50,"process_noise",-0.00623246130936273,-0.35752914899127,0.0146648617804023,0.718052738336714,-0.00623050191848349,0.592292089249493
"PFAnonsMild","FreeParm","Null",20,50,"time_series",-0.000402624500644752,-0.000746164945431096,0.00344828617866641,0.977687626774848,-0.000698255602223387,1
"PFAnonsMild","Null","deJong",20,50,"measurement",-0.00097437514686049,-0.00143610202129501,0.0352138987033142,0.95014164305949,-0.000295468533001708,1
