"modelName","ICspecTRUE","ICfitted","N","T","param_name","true_value","param_type","param_mean","param_sd","se_mean","se_sd","sd_minus_se","bias","rel_bias","rmse","coverage","power"
"PFAnonsMild","Null","EKF",20,50,"U33",2,"measurement",2.002849878978,0.0933791020779254,0.091140608609685,0.00416950919949062,0.00223849346824037,0.00284987897799605,0.00142493948899802,0.0933144904318095,0.951388888888889,1
"PFAnonsMild","Null","EKF",20,50,"U44",1,"measurement",0.998946059195693,0.0465884769675511,0.0472701801117828,0.00208669096900942,-0.000681703144231632,-0.00105394080430676,-0.00105394080430676,0.0465464574784801,0.949074074074074,1
"PFAnonsMild","Null","EKF",20,50,"U55",1.5,"measurement",1.5027265425197,0.0661089799265027,0.0692274046244476,0.00294568112229732,-0.00311842469794492,0.00272654251969895,0.00181769501313263,0.066088687388894,0.956018518518518,1
"PFAnonsMild","Null","EKF",20,50,"U66",0.4,"measurement",0.397926620294243,0.019860011634981,0.0216141548301444,0.000903149185888632,-0.00175414319516336,-0.00207337970575733,-0.00518344926439332,0.0199450734805044,0.962962962962963,1
"PFAnonsMild","Null","FreeParm",20,50,"Z21",1.2,"measurement",1.20012761238515,0.0115848992606722,0.0115163472691612,0.00123462376406391,6.85519915110001e-05,0.00012761238515413,0.000106343654295108,0.011538028199306,0.942622950819672,1
"PFAnonsMild","Null","FreeParm",20,50,"Z31",0.8,"measurement",0.799556238677674,0.0131356862414948,0.0137952211052759,0.00143747057452429,-0.000659534863781135,-0.000443761322325709,-0.000554701652907136,0.0130892652046141,0.950819672131147,1
"PFAnonsMild","Null","FreeParm",20,50,"Z52",0.9,"measurement",0.899893262856601,0.0171921673493531,0.0163076913331884,0.00171029493964514,0.000884476016164683,-0.000106737143399149,-0.000118596825999055,0.01712189536824,0.942622950819672,1
"PFAnonsMild","Null","FreeParm",20,50,"Z62",1.1,"measurement",1.09914962018865,0.0126490482246833,0.0135997297064554,0.00142345113953378,-0.000950681481772147,-0.000850379811353941,-0.00077307255577631,0.0126257714357099,0.950819672131147,1
"PFAnonsMild","Null","FreeParm",20,50,"V11",0.05,"process_noise",0.0389539594338096,0.0139569561283803,0.0111693412738411,0.00170435620043099,0.00278761485453919,-0.0110460405661904,-0.220920811323808,0.0177542936473711,0.795081967213115,0.901639344262295
"PFAnonsMild","Null","FreeParm",20,50,"V21",0.02,"process_noise",0.0163525358894716,0.0079748487638171,0.00744669092948349,0.0010377899523683,0.000528157834333612,-0.00364746411052839,-0.18237320552642,0.00873961729236877,0.918032786885246,0.614754098360656
"PFAnonsMild","Null","FreeParm",20,50,"V22",0.05,"process_noise",0.0480257006054856,0.0143042591025588,0.00804763411323777,0.000560323860298526,0.00625662498932102,-0.00197429939451441,-0.0394859878902881,0.014381673770368,0.811475409836066,0.983606557377049
"PFAnonsMild","Null","FreeParm",20,50,"T11",1.2,"time_series",1.20009589783797,0.00486046818505215,0.00463321306463125,0.000482367412918008,0.000227255120420901,9.58978379719255e-05,7.99148649766046e-05,0.00484145709383505,0.934426229508197,1
"PFAnonsMild","Null","FreeParm",20,50,"T21",-0.4,"time_series",-0.400377226742177,0.00529451803234735,0.00783904201146486,0.000837641055559208,-0.0025445239791175,-0.000377226742177439,0.000943066855443597,0.00528625116353789,0.991803278688525,1
"PFAnonsMild","Null","FreeParm",20,50,"T12",0.6,"time_series",0.599567819213839,0.00835987556111784,0.00890245175038555,0.000911007128380092,-0.000542576189267709,-0.000432180786160696,-0.000720301310267827,0.00833675303158557,0.959016393442623,1
"PFAnonsMild","Null","FreeParm",20,50,"T22",0.7,"time_series",0.699812956896965,0.00494976050247245,0.00487066442456115,0.000519514972793598,7.9096077911304e-05,-0.000187043103034634,-0.00026720443290662,0.0049329801767755,0.950819672131147,1
"PFAnonsMild","Null","FreeParm",20,50,"U11",0.8,"measurement",0.798797158185841,0.0403919626675788,0.0382834455824118,0.00180103931966048,0.00210851708516701,-0.00120284181415942,-0.00150355226769927,0.0402440609092754,0.926229508196721,1
"PFAnonsMild","Null","FreeParm",20,50,"U22",0.6,"measurement",0.602512880968983,0.029032670094631,0.0312336482795718,0.00134841048805279,-0.00220097818494075,0.00251288096898294,0.00418813494830491,0.0290224313339188,0.967213114754098,1
"PFAnonsMild","Null","FreeParm",20,50,"U33",2,"measurement",2.00713961335139,0.0892084741812149,0.091237165318347,0.00400286015530698,-0.0020286911371321,0.00713961335138524,0.00356980667569262,0.0891285318601731,0.950819672131147,1
"PFAnonsMild","Null","FreeParm",20,50,"U44",1,"measurement",1.00234212039711,0.0484845677590956,0.0472920163527568,0.00217181534036179,0.00119255140633888,0.00234212039711035,0.00234212039711035,0.0483422213906266,0.950819672131147,1
"PFAnonsMild","Null","FreeParm",20,50,"U55",1.5,"measurement",1.49901642960985,0.0686314796576348,0.0689602077553447,0.00306542000121713,-0.000328728097709896,-0.000983570390145294,-0.000655713593430196,0.0683567009023236,0.942622950819672,1
"PFAnonsMild","Null","FreeParm",20,50,"U66",0.4,"measurement",0.39544520009061,0.0191938204731122,0.0212956434437443,0.000854863011409564,-0.00210182297063211,-0.00455479990938962,-0.011386999773474,0.0196501718044088,0.934426229508197,1
"PFAnonsMild","Null","FreeParm",20,50,"X01",1,"init_cond",0.00431962139661043,0.0633921426260204,0.0628161758755275,0.00685418355833176,0.00057596675049286,-0.99568037860339,-0.99568037860339,0.997679828920783,0,0.0655737704918033
"PFAnonsMild","Null","FreeParm",20,50,"X02",0.5,"init_cond",-0.00156802810086676,0.0710511359206945,0.077165864217797,0.00695125216247526,-0.0061147282971025,-0.501568028100867,-1.00313605620173,0.506534669609287,0,0.0573770491803279
"PFAnonsMild","Null","FreeParm",20,50,"P011",1.2,"init_cond",0.0162553120880918,0.0170107056213497,0.0202005403488223,0.0117309892211494,-0.00318983472747269,-1.18374468791191,-0.986453906593257,1.18386590390486,0,0
"PFAnonsMild","Null","FreeParm",20,50,"P012",0.3,"init_cond",-0.00496200789304064,0.0143681264049718,0.0174997061206585,0.00945442777577532,-0.0031315797156867,-0.304962007893041,-1.01654002631014,0.305297522358673,0,0.00819672131147541
"PFAnonsMild","Null","FreeParm",20,50,"P022",0.7,"init_cond",0.0216635996733122,0.0231777304816429,0.0282628975145539,0.0167599393354258,-0.005085167032911,-0.678336400326688,-0.969052000466697,0.678729015042692,0,0
"PFAnonsMild","Null","largeK",20,50,"Z21",1.2,"measurement",1.19887471537874,0.0117756962942309,0.0116259139523575,0.00126595430387972,0.000149782341873407,-0.00112528462125572,-0.000937737184379765,0.011815827496317,0.942396313364055,1
"PFAnonsMild","Null","largeK",20,50,"Z31",0.8,"measurement",0.799092590254144,0.0136748528103631,0.0139388184699964,0.00150179073586868,-0.00026396565963329,-0.000907409745855681,-0.0011342621823196,0.0136891969293569,0.949308755760369,1
"PFAnonsMild","Null","largeK",20,50,"Z52",0.9,"measurement",0.897675149080034,0.016731029160213,0.0164715256430985,0.0017840347625132,0.000259503517114481,-0.00232485091996582,-0.00258316768885091,0.0168726783498193,0.940092165898618,1
"PFAnonsMild","Null","largeK",20,50,"Z62",1.1,"measurement",1.09707904209764,0.0130718051613277,0.0137119540325247,0.00148118906469532,-0.000640148871197023,-0.0029209579023608,-0.00265541627487345,0.013379475727755,0.942396313364055,1
"PFAnonsMild","Null","largeK",20,50,"V11",0.05,"process_noise",0.0387422638656077,0.0136057441098887,0.0121067977749398,0.00104243048915439,0.00149894633494887,-0.0112577361343923,-0.225154722687847,0.0176472762902559,0.838709677419355,0.882488479262673
"PFAnonsMild","Null","largeK",20,50,"V21",0.02,"process_noise",0.0149743829956117,0.00710506413191448,0.00785364026338147,0.000740812477962933,-0.000748576131466987,-0.00502561700438827,-0.251280850219413,0.00869611664869988,0.933179723502304,0.453917050691244
"PFAnonsMild","Null","largeK",20,50,"V22",0.05,"process_noise",0.0462533248045117,0.0140423255986159,0.0082801165996232,0.000596555015819773,0.00576220899899272,-0.00374667519548831,-0.0749335039097662,0.0145179246286528,0.811059907834101,0.963133640552995
"PFAnonsMild","Null","largeK",20,50,"T11",1.2,"time_series",1.19946938312571,0.00504528291143118,0.00474416522889587,0.00050596108376535,0.000301117682535315,-0.000530616874294676,-0.000442180728578897,0.0050673249478618,0.933179723502304,1
"PFAnonsMild","Null","largeK",20,50,"T21",-0.4,"time_series",-0.400168050533329,0.00573133351440777,0.0079032572815826,0.000855270703590267,-0.00217192376717483,-0.000168050533329467,0.000420126333323667,0.00572719283554832,0.993087557603687,1
"PFAnonsMild","Null","largeK",20,50,"T12",0.6,"time_series",0.599025094603068,0.00847449616193575,0.00902443663764223,0.000945765983058609,-0.000549940475706476,-0.000974905396931902,-0.00162484232821984,0.00852068357450241,0.960829493087558,1
"PFAnonsMild","Null","largeK",20,50,"T22",0.7,"time_series",0.699820020321053,0.00490992342810086,0.00492610104237928,0.000538030202768548,-1.61776142784164e-05,-0.000179979678947118,-0.000257113827067311,0.00490756496336973,0.947004608294931,1
"PFAnonsMild","Null","largeK",20,50,"U11",0.8,"measurement",0.797238540926515,0.0399213776939379,0.0384063779661647,0.0017773050316172,0.00151499972777321,-0.00276145907348535,-0.00345182384185669,0.0399708630829989,0.942396313364055,1
"PFAnonsMild","Null","largeK",20,50,"U22",0.6,"measurement",0.59991072099408,0.0299549831885825,0.0314569540951182,0.00135601845790153,-0.00150197090653567,-8.9279005920373e-05,-0.000148798343200622,0.0299205861356892,0.974654377880184,1
"PFAnonsMild","Null","largeK",20,50,"U33",2,"measurement",2.00078348962409,0.0933765549311026,0.0910458121341125,0.00417420038849975,0.00233074279699014,0.000783489624093914,0.000391744812046957,0.0932722069427198,0.951612903225806,1
"PFAnonsMild","Null","largeK",20,50,"U44",1,"measurement",0.999495169752592,0.046350289146667,0.0472945045010046,0.00207253927807166,-0.000944215354337662,-0.000504830247408217,-0.000504830247408217,0.046299611704146,0.949308755760369,1
"PFAnonsMild","Null","largeK",20,50,"U55",1.5,"measurement",1.5029361207099,0.0661167886715293,0.0692353017110055,0.00294684142458978,-0.00311851303947618,0.00293612070990434,0.0019574138066029,0.0661058101099539,0.953917050691244,1
"PFAnonsMild","Null","largeK",20,50,"U66",0.4,"measurement",0.397732344962483,0.0197426782903302,0.0216031235357399,0.000898288806473802,-0.00186044524540964,-0.00226765503751697,-0.00566913759379242,0.0198498743113703,0.963133640552995,1
"PFAnonsMild","Null","Null",20,50,"Z21",1.2,"measurement",1.2002974313424,0.0117331558045539,0.0116450508373141,0.00127643088317873,8.81049672398285e-05,0.000297431342395127,0.000247859451995939,0.0117237976268079,0.948545861297539,1
"PFAnonsMild","Null","Null",20,50,"Z31",0.8,"measurement",0.799988028502961,0.0137729335618996,0.0139504290236827,0.00150932047036314,-0.000177495461783111,-1.19714970390206e-05,-1.49643712987757e-05,0.0137575241786518,0.948545861297539,1
